userName,score,at,content
acin andriyatna,5,2025-12-02 16:50:00,kenapa apk ini tidak tampil di layar saya
mohamad Safrianto,5,2025-12-02 14:51:49,"harusnya logo IKDnya berwarna cerah biar GK saru dgn wallpaper ataupun tema di hp yg sekarang ini,trimakasih sebelumnya !"
GATOT SUTOYO,5,2025-12-02 14:31:31,Good
Aryana mulia Telaumbanua,1,2025-12-02 14:28:11,bikin susah aja ni aplikasi susah kali logins
Mama Hasan,3,2025-12-02 13:31:05,tolong tambahkan 'lupa pin' karena saya lupa pin nya.
Sedoy Mampet,1,2025-12-02 13:01:02,aplikasi gak berguna.. konsenya online dan digital tapi daftar harus ke ducalil.. Indonesia Indonesia wkkwk
MUHAMMAD FADHILLAH 01,1,2025-12-02 12:30:17,apk sampah. sudah punya akun. pas mau login lagi swafoto malah tidak terdaftar aneh....
Qiana Ajah,2,2025-12-02 11:08:26,"Apk Negara (pelayanan Publik) kok Receh bgt ya😌 Tampilan Biasa aja, tidak ada pelayanan online misal (Live chat). Perubahan Data juga Tidak lengkap (Perubahan Pekerjaan, tgl lahir, Jenis kelamin TDK ada) payah sekali."
Atin Sumarni,5,2025-12-02 09:06:17,Alhamdulillah lebih praktis bisa lngsung melihat data
Mas Tata,1,2025-12-02 08:06:46,tetap saja program digitalnya tak semudah semestinya malah di persulitkan masarakat
idrus sardi,1,2025-12-02 07:44:29,fungsi belum di ketahui
danang setiawan,2,2025-12-02 06:19:31,GK bisa masuk susah bikin ikd
Gaffar Capil69,5,2025-12-02 04:52:10,kerenz semoga terupgrade terus
KOPI HITAM,1,2025-12-02 04:04:44,stuck di swafoto ...
Ahmad Thoni,3,2025-12-02 03:17:54,apakah daftar nya harus di kantor desa ya? soalnya saya daftar di rumah gagal terus udah beberapa kali
Wandira,5,2025-12-02 02:03:25,mempermudah bangett
Kristina Feny Kurniawati,2,2025-12-02 01:59:25,🌎🫂Iya Bagus Kok✌🏻😁
Arthur Sebasciel,2,2025-12-02 01:51:00,"minta diupdate, tp setelah diupdate malah ada notifikasi kegagalan minta dan minta di update. pdhl sudah diupdate"
Valetta,1,2025-12-02 00:30:57,aplikasi gk guna. tampilan yang terus berubah2 dan error. sedangkan instansi masih perlu ktp fisik dari pada digital. gk guna intinya
Rmdni Srd,1,2025-12-01 22:03:43,"Aplikasi ga jelas kalo lama ga dibuka harus daftar ulang lagi pas genting genting nya di data ulang malah gagal,,"
Linda Widiya,1,2025-12-01 22:00:58,lah harusnya udah daftar bisa dibuka aplikasinya ini enggak bisa
EME CARMA,1,2025-12-01 18:41:38,aplikasi setelah diupdate dari logo Garuda ke logo IKD malah gak bisa login dan gak ada menu pilihan lupa password.
Fabyan Werang,5,2025-12-01 17:09:21,Ok
Eko Pudyastowo,5,2025-12-01 17:00:40,baru saya update .... bagus...
